Month,FteSum,FmlaSum
1/15/2009,25.5,NA
2/15/2009,26.5,NA
3/15/2009,26.5,274
4/15/2009,26.5,NA
5/15/2009,25.5,112
6/15/2009,25.5,NA
7/15/2009,25.5,NA
8/15/2009,24.5,51
9/15/2009,23.5,NA
10/15/2009,23.5,NA
11/15/2009,23.5,37
12/15/2009,23.5,31
1/15/2010,23.5,66
2/15/2010,23.5,NA
3/15/2010,23.5,133
4/15/2010,23.5,NA
5/15/2010,22.5,66
6/15/2010,22.5,NA
7/15/2010,21.5,278
8/15/2010,21.5,137
9/15/2010,20.5,125
10/15/2010,20.5,99
11/15/2010,22.5,241
12/15/2010,21.5,NA
1/15/2011,21.5,NA
2/15/2011,21.5,NA
3/15/2011,21.5,NA
4/15/2011,21.5,170
5/15/2011,21.5,NA
6/15/2011,21.5,NA
7/15/2011,21.5,NA
8/15/2011,21.5,NA
9/15/2011,21.5,NA
10/15/2011,21.5,NA
11/15/2011,21.5,NA
12/15/2011,21.5,56
1/15/2012,20.5,262
2/15/2012,20.5,266
3/15/2012,20.5,NA
4/15/2012,21.5,72
5/15/2012,25.5,142
6/15/2012,25.5,NA
7/15/2012,25.5,130
8/15/2012,25.5,NA
9/15/2012,26.5,298
10/15/2012,25.5,NA
11/15/2012,23.5,NA
12/15/2012,23.5,NA
1/15/2013,23.5,NA
2/15/2013,23.5,5
3/15/2013,23.5,NA
4/15/2013,22.5,NA
5/15/2013,21.5,NA
6/15/2013,21.5,4
7/15/2013,21.5,NA
8/15/2013,21.5,NA
9/15/2013,20.5,NA
10/15/2013,20.5,NA
11/15/2013,19.5,NA
12/15/2013,18.5,NA
1/15/2014,21,254
2/15/2014,21,42
3/15/2014,21,NA
4/15/2014,21,30
5/15/2014,20,NA
6/15/2014,22,77
7/15/2014,24,NA
8/15/2014,23,NA
9/15/2014,22,NA
10/15/2014,22,NA
11/15/2014,21,NA
12/15/2014,19,NA
1/15/2015,19,204
2/15/2015,19,NA
3/15/2015,20,NA
4/15/2015,19,NA
5/15/2015,19,NA
6/15/2015,19,NA
7/15/2015,19,NA
8/15/2015,19,NA
